Henry, Yrneh, Café Nero, Drizzly Bear, Hypsignathus monstrosus, Blood Marathon, Aiur Chef, En taro Cuisine, Pippen's Disciples, HenHen, FIRE, Heinrich, Nothing of Value, Need to check facebook, 
Adrian, Rexyrex, Rexy, Rex, Dino, #DinoGaming, 5k5k5k5k, RexyRekt, RexYourself, Hey, want to shrine?, , , , , 
Nick, KaelisRa, Nickalodeon, CPT Oblivious, Captain Oblivious, The Great Commandy One, Pun Lover, Lover of Hoofenpaw, STFUman, Big Blue Numbers, Silencer, #DinoGaming, Minimap Misclicking, Outworld Feedlord, Get out of my house
Geoff, OmniSexy, Geffo, Mesmerised, Cheerful, Mikasa, Rubick, #DinoGaming, , , , , , , 
Ray, ClappityBunny, Rayray, Rayray420, ChineseAustrian 1, ChineseAustrian, Strong Silent Type, Ramundo, Rayzor, Cray, CrayCray, RayFK, Ray-F-K, RayBae, 
Xander, BonoboCop, Conductor, Feed Train Conductor, CHOOCHOO, Coal Shoveller, Apes of Wrath, Playest-of-Plays, Turn?, #Worth, , , , , 
Ryan, WolfShagger, Wolfy, Mustard, Techies Heathen, Wazzok, Pillock, McGiggletits, Bollocks, *British Gibberish*, Wolf, Stupid Cat!, From ✪ Kwlz ッ: tell ryan to 1v1 me infront of all his friends no balls he wont, No Balls, 
Guki, Zycle, Gooks, Naga, ChineseAustrian 2, ChineseAustrian, Pippen's Disciples, Swiss Bank, Get This Guy a Map, Puck Choi, Noses the Prophet, Puck Choy, *Underwatersingingnoises*, Cat Eater, we fuckin lost
Laura, lauvilu, , , , , , , , , , , , , 
Jamie, Rooster212, Roobicks Cube, RooRoo, Pippen's Disciples, FerSeremere, Server Master, Ban Hammer-er, , , , , , , 
Pranav, Pash, Apes of Wrath, Chimp off the old block, Midas, PAAAAAAAASH, , , , , , , , , 
Andy, RedArmo25, Panda, Space Panda, WerePanda, LISA, , , , , , , , , 
